UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,QUARTER
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D,4
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I,4
0WQ,Avjet Corporation,D,4
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D,4
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,4
1TQ,Rhoades Aviation dba Transair,D,4
27Q,"Jet Aviation Flight Services, Inc.",D,4
27Q,"Jet Aviation Flight Services, Inc.",I,4
2HQ,Elite Airways LLC,D,4
3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",D,4
3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",D,4
3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",I,4
3M,Silver Airways,D,4
3M,Silver Airways,I,4
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,4
5X,United Parcel Service,A,4
5X,United Parcel Service,D,4
5X,United Parcel Service,L,4
5X,United Parcel Service,P,4
5Y,Atlas Air Inc.,D,4
5Y,Atlas Air Inc.,I,4
8C,Air Transport International,A,4
8C,Air Transport International,D,4
9E,Endeavor Air Inc.,D,4
9E,Endeavor Air Inc.,L,4
9S,Southern Air Inc.,D,4
9S,Southern Air Inc.,I,4
AA,American Airlines Inc.,A,4
AA,American Airlines Inc.,D,4
AA,American Airlines Inc.,L,4
AA,American Airlines Inc.,P,4
ABX,ABX Air Inc,A,4
ABX,ABX Air Inc,D,4
AS,Alaska Airlines Inc.,D,4
AS,Alaska Airlines Inc.,L,4
B6,JetBlue Airways,D,4
B6,JetBlue Airways,L,4
C5,CommuteAir LLC dba CommuteAir,D,4
DL,Delta Air Lines Inc.,A,4
DL,Delta Air Lines Inc.,D,4
DL,Delta Air Lines Inc.,L,4
DL,Delta Air Lines Inc.,P,4
F9,Frontier Airlines Inc.,D,4
F9,Frontier Airlines Inc.,L,4
FX,Federal Express Corporation,A,4
FX,Federal Express Corporation,D,4
FX,Federal Express Corporation,L,4
FX,Federal Express Corporation,P,4
G4,Allegiant Air,D,4
G7,GoJet Airlines LLC d/b/a United Express,D,4
GFQ,Gulf And Caribbean Cargo,D,4
GFQ,Gulf And Caribbean Cargo,I,4
HA,Hawaiian Airlines Inc.,D,4
HA,Hawaiian Airlines Inc.,P,4
KAQ,Kalitta Air LLC,D,4
KAQ,Kalitta Air LLC,I,4
KD,Western Global,I,4
KH,Aloha Air Cargo,D,4
KLQ,Kalitta Charters II,D,4
KLQ,Kalitta Charters II,I,4
L2,Lynden Air Cargo Airlines,D,4
L2,Lynden Air Cargo Airlines,I,4
M6,Amerijet International,D,4
M6,Amerijet International,L,4
MQ,Envoy Air,D,4
MQ,Envoy Air,L,4
N8,National Air Cargo Group Inc d/ba National Airlines,D,4
N8,National Air Cargo Group Inc d/ba National Airlines,I,4
NC,Northern Air Cargo Inc.,D,4
NC,Northern Air Cargo Inc.,I,4
NK,Spirit Air Lines,D,4
NK,Spirit Air Lines,L,4
OH,PSA Airlines Inc.,D,4
OH,PSA Airlines Inc.,L,4
OO,SkyWest Airlines Inc.,D,4
OO,SkyWest Airlines Inc.,L,4
PFQ,Asia Pacific,I,4
PO,Polar Air Cargo Airways,A,4
PO,Polar Air Cargo Airways,D,4
PO,Polar Air Cargo Airways,P,4
QX,Horizon Air,D,4
QX,Horizon Air,L,4
SY,Sun Country Airlines d/b/a MN Airlines,D,4
SY,Sun Country Airlines d/b/a MN Airlines,L,4
U7,USA Jet Airlines Inc.,D,4
U7,USA Jet Airlines Inc.,I,4
UA,United Air Lines Inc.,A,4
UA,United Air Lines Inc.,D,4
UA,United Air Lines Inc.,L,4
UA,United Air Lines Inc.,P,4
WI,Sky Lease Cargo,I,4
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",D,4
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",I,4
WN,Southwest Airlines Co.,D,4
WN,Southwest Airlines Co.,L,4
X9,Omni Air International LLC,D,4
X9,Omni Air International LLC,I,4
YV,Mesa Airlines Inc.,D,4
YV,Mesa Airlines Inc.,L,4
YX,Republic Airline,D,4
YX,Republic Airline,L,4
ZW,Air Wisconsin Airlines Corp,D,4
